* Measurement data measured by REW V5.31.3
* Source: /Users/admin/Documents/Developer/qualia_surroundsystem_v0/data/Automeris.io RS100-4 SPL.csv
* Format: Comma/Tab/Space delimited data
* Dated: Jul 25, 2025 11:45:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from /Users/admin/Documents/Developer/qualia_surroundsystem_v0/data/Automeris.io RS100-4 SPL.csv Format: Comma/Tab/Space delimited data 50 values loaded, 20 Hz to 19,776 Hz 
* Measurement: Automeris.io RS100-4 SPL
* Smoothing: None
* Frequency Step: 0.25 Hz
* Start Frequency: 20.17 Hz
*
* Freq(Hz), SPL(dB)
206.170000, 85.945
206.420000, 85.947
206.670000, 85.948
206.920000, 85.950
207.170000, 85.951
207.420000, 85.953
207.670000, 85.954
207.920000, 85.956
208.170000, 85.957
208.420000, 85.959
208.670000, 85.960
208.920000, 85.962
209.170000, 85.963
209.420000, 85.965
209.670000, 85.966
209.920000, 85.968
210.170000, 85.969
210.420000, 85.970
210.670000, 85.972
210.920000, 85.973
211.170000, 85.975
211.420000, 85.976
211.670000, 85.978
211.920000, 85.979
212.170000, 85.981
212.420000, 85.982
212.670000, 85.984
212.920000, 85.985
213.170000, 85.987
213.420000, 85.988
213.670000, 85.990
213.920000, 85.991
214.170000, 85.993
214.420000, 85.994
214.670000, 85.996
214.920000, 85.997
215.170000, 85.999
215.420000, 86.000
215.670000, 86.002
215.920000, 86.003
216.170000, 86.004
216.420000, 86.006
216.670000, 86.007
216.920000, 86.009
217.170000, 86.010
217.420000, 86.012
217.670000, 86.013
217.920000, 86.015
218.170000, 86.016
218.420000, 86.018
218.670000, 86.019
218.920000, 86.021
219.170000, 86.022
219.420000, 86.024
219.670000, 86.025
219.920000, 86.027
220.170000, 86.028
220.420000, 86.029
220.670000, 86.031
220.920000, 86.032
221.170000, 86.034
221.420000, 86.035
221.670000, 86.037
221.920000, 86.038
222.170000, 86.040
222.420000, 86.041
222.670000, 86.043
222.920000, 86.044
223.170000, 86.045
223.420000, 86.047
223.670000, 86.048
223.920000, 86.050
224.170000, 86.051
224.420000, 86.053
224.670000, 86.054
224.920000, 86.056
225.170000, 86.057
225.420000, 86.059
225.670000, 86.060
225.920000, 86.061
226.170000, 86.063
226.420000, 86.064
226.670000, 86.066
226.920000, 86.067
227.170000, 86.069
227.420000, 86.070
227.670000, 86.071
227.920000, 86.073
228.170000, 86.074
228.420000, 86.076
228.670000, 86.077
228.920000, 86.079
229.170000, 86.080
229.420000, 86.081
229.670000, 86.083
229.920000, 86.084
230.170000, 86.086
230.420000, 86.087
230.670000, 86.089
230.920000, 86.090
231.170000, 86.091
231.420000, 86.093
231.670000, 86.094
231.920000, 86.096
232.170000, 86.097
232.420000, 86.099
232.670000, 86.100
232.920000, 86.101
233.170000, 86.103
233.420000, 86.104
233.670000, 86.106
233.920000, 86.107
234.170000, 86.108
234.420000, 86.110
234.670000, 86.111
234.920000, 86.113
235.170000, 86.114
235.420000, 86.115
235.670000, 86.117
235.920000, 86.118
236.170000, 86.120
236.420000, 86.121
236.670000, 86.122
236.920000, 86.124
237.170000, 86.125
237.420000, 86.126
237.670000, 86.128
237.920000, 86.129
238.170000, 86.131
238.420000, 86.132
238.670000, 86.133
238.920000, 86.135
239.170000, 86.136
239.420000, 86.137
239.670000, 86.139
239.920000, 86.140
240.170000, 86.142
240.420000, 86.143
240.670000, 86.144
240.920000, 86.146
241.170000, 86.147
241.420000, 86.148
241.670000, 86.150
241.920000, 86.151
242.170000, 86.152
242.420000, 86.154
242.670000, 86.155
242.920000, 86.156
243.170000, 86.158
243.420000, 86.159
243.670000, 86.160
243.920000, 86.162
244.170000, 86.163
244.420000, 86.164
244.670000, 86.166
244.920000, 86.167
245.170000, 86.168
245.420000, 86.170
245.670000, 86.171
245.920000, 86.172
246.170000, 86.174
246.420000, 86.175
246.670000, 86.176
246.920000, 86.178
247.170000, 86.179
247.420000, 86.180
247.670000, 86.182
247.920000, 86.183
248.170000, 86.184
248.420000, 86.186
248.670000, 86.187
248.920000, 86.188
249.170000, 86.189
249.420000, 86.191
249.670000, 86.192
249.920000, 86.193
250.170000, 86.195
250.420000, 86.196
250.670000, 86.197
250.920000, 86.198
251.170000, 86.200
251.420000, 86.201
251.670000, 86.202
251.920000, 86.204
252.170000, 86.205
252.420000, 86.206
252.670000, 86.207
252.920000, 86.209
253.170000, 86.210
253.420000, 86.211
253.670000, 86.212
253.920000, 86.214
254.170000, 86.215
254.420000, 86.216
254.670000, 86.217
254.920000, 86.219
255.170000, 86.220
255.420000, 86.221
255.670000, 86.222
255.920000, 86.224
256.170000, 86.225
256.420000, 86.226
256.670000, 86.227
256.920000, 86.229
257.170000, 86.230
257.420000, 86.231
257.670000, 86.232
257.920000, 86.233
258.170000, 86.235
258.420000, 86.236
258.670000, 86.237
258.920000, 86.238
259.170000, 86.239
259.420000, 86.241
259.670000, 86.242
259.920000, 86.243
260.170000, 86.244
260.420000, 86.245
260.670000, 86.247
260.920000, 86.248
261.170000, 86.249
261.420000, 86.250
261.670000, 86.251
261.920000, 86.252
262.170000, 86.254
262.420000, 86.255
262.670000, 86.256
262.920000, 86.257
263.170000, 86.258
263.420000, 86.259
263.670000, 86.261
263.920000, 86.262
264.170000, 86.263
264.420000, 86.264
264.670000, 86.265
264.920000, 86.266
265.170000, 86.267
265.420000, 86.269
265.670000, 86.270
265.920000, 86.271
266.170000, 86.272
266.420000, 86.273
266.670000, 86.274
266.920000, 86.275
267.170000, 86.276
267.420000, 86.278
267.670000, 86.279
267.920000, 86.280
268.170000, 86.281
268.420000, 86.282
268.670000, 86.283
268.920000, 86.284
269.170000, 86.285
269.420000, 86.286
269.670000, 86.287
269.920000, 86.288
270.170000, 86.290
270.420000, 86.291
270.670000, 86.292
270.920000, 86.293
271.170000, 86.294
271.420000, 86.295
271.670000, 86.296
271.920000, 86.297
272.170000, 86.298
272.420000, 86.299
272.670000, 86.300
272.920000, 86.301
